,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
85,(0.04178039057190175+0j),(0.09194525604213426+0j),(0.0006696574434901214+0j),,,,,,,(2.036910775491702e-06+0j)
86,(0.038905990070055387+0j),(0.09211383766698936+0j),(0.0006556055933595636+0j),,,,,,,(2.0369128163080284e-06+0j)
87,(0.03599319405318604+0j),(0.09227878399431688+0j),(0.0006411826890799301+0j),,,,,,,(2.036914857124355e-06+0j)
88,(0.03304487709929631+0j),(0.09244000008916649+0j),(0.0006263868416062881+0j),,,,,,,(2.0369168979406815e-06+0j)
89,(0.03006394884091816+0j),(0.0925973905897252+0j),(0.0006112165909259932+0j),,,,,,,(2.036918938757008e-06+0j)
90,(0.027053351095041197+0j),(0.09275085981980373+0j),(0.000595670929311615+0j),,,,,,,(2.0369209795733345e-06+0j)
91,(0.02401605495852973+0j),(0.09290031190670275+0j),(0.0005797493202263151+0j),,,,,,,(2.036923020389661e-06+0j)
92,(0.020955057874566602+0j),(0.09304565090346839+0j),(0.000563451713816395+0j),,,,,,,(2.0369250612059875e-06+0j)
93,(0.017873380678415565+0j),(0.0931867809147581+0j),(0.0005467785597097847+0j),,,,,,,(2.036927102022314e-06+0j)
94,(0.014774064613413905+0j),(0.09332360622569941+0j),(0.000529730817673072+0j),,,,,,,(2.0369291428386405e-06+0j)
95,(0.011660168330332881+0j),(0.093456031433249+0j),(0.0005123099665528939+0j),,,,,,,(2.036931183654967e-06+0j)
96,(0.008534764869221188+0j),(0.09358396157965675+0j),(0.0004945180118312474+0j),,,,,,,(2.0369332244712935e-06+0j)
97,(0.005400938625236704+0j),(0.09370730228771304+0j),(0.00047635749205005663+0j),,,,,,,(2.03693526528762e-06+0j)
98,(0.0022617823068922013+0j),(0.09382595989751642+0j),(0.0004578314843042928+0j),,,,,,,(2.0369373061039466e-06+0j)
99,(-0.0008796061175209715+0j),(0.09393984160454355+0j),(0.00043894360895986215+0j),,,,,,,(2.036939346920273e-06+0j)
100,(-0.004020126476892263+0j),(0.09404885559883952+0j),(0.00041969803371962093+0j),,,,,,,(2.0369413877365996e-06+0j)
101,(-0.007156679456786517+0j),(0.09415291120517458+0j),(0.00040009947713619785+0j),,,,,,,(2.036943428552926e-06+0j)
102,(-0.010286169657731263+0j),(0.0942519190240362+0j),(0.00038015321165125467+0j),,,,,,,(2.0369454693692526e-06+0j)
103,(-0.013405508651450754+0j),(0.09434579107334401+0j),(0.0003598650662263143+0j),,,,,,,(2.036947510185579e-06+0j)
