,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
128,(-0.0795515612298684+0j),(0.06996805631773284+0j),(-0.0009906064362722401+0j),,,,,,,(2.036998530593742e-06+0j)
129,(-0.08141558917003273+0j),(0.0699374430839758+0j),(-0.0010130443611840376+0j),,,,,,,(2.0370005714100683e-06+0j)
130,(-0.08319926975270382+0j),(0.06990616349628809+0j),(-0.0010343026974832098+0j),,,,,,,(2.037002612226395e-06+0j)
131,(-0.08490084270131903+0j),(0.06987425468762914+0j),(-0.0010543057497393292+0j),,,,,,,(2.0370046530427214e-06+0j)
132,(-0.08651862876857136+0j),(0.06984175608578125+0j),(-0.0010729787336782198+0j),,,,,,,(2.037006693859048e-06+0j)
133,(-0.08805103139455543+0j),(0.06980870938052473+0j),(-0.0010902481061523816+0j),,,,,,,(2.0370087346753744e-06+0j)
134,(-0.0894965382830808+0j),(0.06977515848142722+0j),(-0.0011060418506395235+0j),,,,,,,(2.037010775491701e-06+0j)
135,(-0.0908537228933666+0j),(0.06974114946657145+0j),(-0.001120289785931327+0j),,,,,,,(2.0370128163080274e-06+0j)
136,(-0.09212124584777427+0j),(0.06970673052044159+0j),(-0.0011329239683491596+0j),,,,,,,(2.037014857124354e-06+0j)
137,(-0.09329785625476475+0j),(0.06967195185872072+0j),(-0.0011438791478082847+0j),,,,,,,(2.0370168979406804e-06+0j)
138,(-0.09438239294161621+0j),(0.06963686563935777+0j),(-0.001153093212095976+0j),,,,,,,(2.037018938757007e-06+0j)
139,(-0.09537378560166576+0j),(0.06960152586059463+0j),(-0.0011605075976627661+0j),,,,,,,(2.0370209795733334e-06+0j)
140,(-0.09627105584982062+0j),(0.06956598824698504+0j),(-0.0011660676662493083+0j),,,,,,,(2.03702302038966e-06+0j)
141,(-0.09707331818862008+0j),(0.06953031012439775+0j),(-0.0011697230505885129+0j),,,,,,,(2.0370250612059864e-06+0j)
142,(-0.0977797808823656+0j),(0.06949455028489927+0j),(-0.0011714279723460694+0j),,,,,,,(2.037027102022313e-06+0j)
143,(-0.09838974673747385+0j),(0.06945876884232674+0j),(-0.0011711415346440156+0j),,,,,,,(2.0370291428386395e-06+0j)
144,(-0.09890261379128791+0j),(0.06942302707930312+0j),(-0.0011688279907100814+0j),,,,,,,(2.037031183654966e-06+0j)
145,(-0.09931787590594486+0j),(0.06938738728640878+0j),(-0.0011644569895492242+0j),,,,,,,(2.0370332244712925e-06+0j)
146,(-0.09963512326790375+0j),(0.06935191259420462+0j),(-0.0011580037990419933+0j),,,,,,,(2.037035265287619e-06+0j)
147,(-0.0998540427922073+0j),(0.06931666679879406+0j),(-0.0011494495065112098+0j),,,,,,,(2.0370373061039455e-06+0j)
148,(-0.09997441843185931+0j),(0.069281714181615+0j),(-0.0011387811965373829+0j),,,,,,,(2.037039346920272e-06+0j)
149,(-0.09999613139057446+0j),(0.06924711932416124+0j),(-0.0011259921056232238+0j),,,,,,,(2.0370413877365985e-06+0j)
150,(-0.09991916024028395+0j),(0.06921294691834783+0j),(-0.001111081753192684+0j),,,,,,,(2.037043428552925e-06+0j)
151,(-0.09974358094222026+0j),(0.06917926157325069+0j),(-0.0010940560483475822+0j),,,,,,,(2.0370454693692515e-06+0j)
152,(-0.09946956677195266+0j),(0.0691461276189691+0j),(-0.0010749273717850971+0j),,,,,,,(2.037047510185578e-06+0j)
153,(-0.09909738814843383+0j),(0.06911360890837741+0j),(-0.00105371463229496+0j),,,,,,,(2.0370495510019046e-06+0j)
154,(-0.09862741236694533+0j),(0.06908176861754949+0j),(-0.0010304432972995936+0j),,,,,,,(2.037051591818231e-06+0j)
155,(-0.09806010323688008+0j),(0.06905066904565504+0j),(-0.0010051453969689816+0j),,,,,,,(2.0370536326345576e-06+0j)
156,(-0.09739602062385738+0j),(0.06902037141513938+0j),(-0.0009778595015302763+0j),,,,,,,(2.037055673450884e-06+0j)
157,(-0.09663581989724067+0j),(0.06899093567300818+0j),(-0.000948630671496671+0j),,,,,,,(2.0370577142672106e-06+0j)
158,(-0.09578025128347151+0j),(0.06896242029404595+0j),(-0.0009175103806579241+0j),,,,,,,(2.037059755083537e-06+0j)
159,(-0.09483015912527956+0j),(0.06893488208679946+0j),(-0.000884556411803147+0j),,,,,,,(2.0370617958998636e-06+0j)
160,(-0.09378648104901252+0j),(0.0689083760031558+0j),(-0.0008498327252831745+0j),,,,,,,(2.03706383671619e-06+0j)
161,(-0.09265024703892692+0j),(0.06888295495234018+0j),(-0.0008134093006623068+0j),,,,,,,(2.0370658775325166e-06+0j)
162,(-0.09142257842081153+0j),(0.06885866962014761+0j),(-0.0007753619518557573+0j),,,,,,,(2.037067918348843e-06+0j)
163,(-0.09010468675537425+0j),(0.06883556829420946+0j),(-0.000735772116298177+0j),,,,,,,(2.0370699591651697e-06+0j)
164,(-0.0886978726427459+0j),(0.06881369669607587+0j),(-0.0006947266188380336+0j),,,,,,,(2.037071999981496e-06+0j)
165,(-0.08720352443828316+0j),(0.0687930978208723+0j),(-0.000652317411200932+0j),,,,,,,(2.0370740407978227e-06+0j)
166,(-0.08562311688340682+0j),(0.06877381178526014+0j),(-0.0006086412880112176+0j),,,,,,,(2.037076081614149e-06+0j)
167,(-0.08395820964956867+0j),(0.06875587568439927+0j),(-0.0005637995805031828+0j),,,,,,,(2.0370781224304757e-06+0j)
168,(-0.08221044579920185+0j),(0.06873932345857352+0j),(-0.0005178978291900424+0j),,,,,,,(2.037080163246802e-06+0j)
169,(-0.08038155016443305+0j),(0.06872418577009952+0j),(-0.00047104543688978977+0j),,,,,,,(2.0370822040631287e-06+0j)
170,(-0.07847332764402504+0j),(0.06871048989109504+0j),(-0.00042335530362989297+0j),,,,,,,(2.0370842448794552e-06+0j)
171,(-0.07648766142343015+0j),(0.06869825960263425+0j),(-0.00037494344506785435+0j),,,,,,,(2.0370862856957817e-06+0j)
172,(-0.07442651111547574+0j),(0.06868751510576625+0j),(-0.0003259285961696944+0j),,,,,,,(2.0370883265121082e-06+0j)
173,(-0.07229191082667015+0j),(0.06867827294481861+0j),(-0.00027643180198311327+0j),,,,,,,(2.0370903673284347e-06+0j)
174,(-0.07008596714978504+0j),(0.06867054594334997+0j),(-0.00022657599742620643+0j),,,,,,,(2.0370924081447613e-06+0j)
175,(-0.06781085708517014+0j),(0.06866434315305657+0j),(-0.0001764855780844008+0j),,,,,,,(2.0370944489610878e-06+0j)
176,(-0.06546882589125504+0j),(0.0686596698158756+0j),(-0.00012628596406752036+0j),,,,,,,(2.0370964897774143e-06+0j)
177,(-0.06306218487033081+0j),(0.06865652733946476+0j),(-7.610315902574566e-05+0j),,,,,,,(2.0370985305937408e-06+0j)
178,(-0.06059330908652788+0j),(0.06865491328617368+0j),(-2.606330645586594e-05+0j),,,,,,,(2.0371005714100673e-06+0j)
179,(-0.058064635022173954+0j),(0.06865482137555659+0j),(2.370775455212747e-05+0j),,,,,,,(2.037102612226394e-06+0j)
180,(-0.05547865817328007+0j),(0.06865624150041069+0j),(7.308493197309274e-05+0j),,,,,,,(2.0371046530427203e-06+0j)
181,(-0.05283793058740513+0j),(0.06865915975625866+0j),(0.00012194431976475894+0j),,,,,,,(2.037106693859047e-06+0j)
182,(-0.05014505834231969+0j),(0.06866355848412918+0j),(0.00017016363092693952+0j),,,,,,,(2.0371087346753733e-06+0j)
183,(-0.04740269897904431+0j),(0.06866941632642481+0j),(0.00021762262262267537+0j),,,,,,,(2.0371107754917e-06+0j)
184,(-0.044613558874872665+0j),(0.06867670829560418+0j),(0.0002642035113399586+0j),,,,,,,(2.0371128163080263e-06+0j)
185,(-0.04178039057435068+0j),(0.0686854058553454+0j),(0.00030979137614647363+0j),,,,,,,(2.037114857124353e-06+0j)
186,(-0.038905990073208746+0j),(0.06869547701379891+0j),(0.0003542745481794654+0j),,,,,,,(2.0371168979406794e-06+0j)
187,(-0.03599319405637968+0j),(0.06870688642848334+0j),(0.000397544984624651+0j),,,,,,,(2.037118938757006e-06+0j)
188,(-0.033044877102527064+0j),(0.06871959552232651+0j),(0.00043949862556775236+0j),,,,,,,(2.0371209795733324e-06+0j)
189,(-0.030063948844182856+0j),(0.06873356261030722+0j),(0.00048003573225833103+0j),,,,,,,(2.037123020389659e-06+0j)
190,(-0.027053351098336606+0j),(0.068748743036111+0j),(0.0005190612055102124+0j),,,,,,,(2.0371250612059854e-06+0j)
191,(-0.024016054961146296+0j),(0.06876508931817836+0j),(0.000556484883182708+0j),,,,,,,(2.037127102022312e-06+0j)
192,(-0.020955057877913658+0j),(0.068782551304495+0j),(0.0005922218159546866+0j),,,,,,,(2.0371291428386384e-06+0j)
193,(-0.0178733806817835+0j),(0.06880107633545518+0j),(0.0006261925209357318+0j),,,,,,,(2.037131183654965e-06+0j)
194,(-0.014774064616799391+0j),(0.06882060941412187+0j),(0.0006583232130809426+0j),,,,,,,(2.0371332244712914e-06+0j)
