,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
99,(-0.0008796061175209715+0j),(0.070713171058233+0j),(-0.00010800519498474655+0j),,,,,,,(2.036939346920273e-06+0j)
100,(-0.004020126476892263+0j),(0.07071043331703027+0j),(-0.00013807411020170257+0j),,,,,,,(2.0369413877365996e-06+0j)
101,(-0.007156679456786517+0j),(0.07070703996944191+0j),(-0.00016867193584147027+0j),,,,,,,(2.036943428552926e-06+0j)
102,(-0.010286169657731263+0j),(0.07070297990131821+0j),(-0.00019976936488254343+0j),,,,,,,(2.0369454693692526e-06+0j)
103,(-0.013405508651450754+0j),(0.07069824265403815+0j),(-0.000231335046210398+0j),,,,,,,(2.036947510185579e-06+0j)
104,(-0.016511618026597615+0j),(0.07069281846911007+0j),(-0.0002633355456314538+0j),,,,,,,(2.0369495510019056e-06+0j)
105,(-0.019601432428223625+0j),(0.07068669833362116+0j),(-0.00029573530628938674+0j),,,,,,,(2.036951591818232e-06+0j)
106,(-0.022671902582552125+0j),(0.07067987402654485+0j),(-0.00032849660886119866+0j),,,,,,,(2.0369536326345586e-06+0j)
107,(-0.02571999830624306+0j),(0.0706723381659057+0j),(-0.00036157953202039275+0j),,,,,,,(2.036955673450885e-06+0j)
108,(-0.0287427114964697+0j),(0.07066408425678902+0j),(-0.00039494191378249905+0j),,,,,,,(2.0369577142672116e-06+0j)
109,(-0.03173705910094979+0j),(0.07065510674016838+0j),(-0.00042853931449346634+0j),,,,,,,(2.036959755083538e-06+0j)
110,(-0.034700086059758065+0j),(0.07064540104250513+0j),(-0.000462324982382784+0j),,,,,,,(2.0369617958998647e-06+0j)
111,(-0.03762886822301667+0j),(0.07063496362605283+0j),(-0.0004962498227809738+0j),,,,,,,(2.036963836716191e-06+0j)
112,(-0.04052051523632657+0j),(0.07062379203977329+0j),(-0.0005302623722915482+0j),,,,,,,(2.0369658775325177e-06+0j)
113,(-0.04337217339287052+0j),(0.07061188497074142+0j),(-0.0005643087794052472+0j),,,,,,,(2.036967918348844e-06+0j)
114,(-0.04618102845099321+0j),(0.07059924229588099+0j),(-0.0005983327932453685+0j),,,,,,,(2.0369699591651707e-06+0j)
115,(-0.04894430840953678+0j),(0.07058586513383532+0j),(-0.0006322757623262649+0j),,,,,,,(2.036971999981497e-06+0j)
116,(-0.05165928624479691+0j),(0.07057175589673435+0j),(-0.0006660766453842931+0j),,,,,,,(2.0369740407978237e-06+0j)
117,(-0.054323282601433404+0j),(0.0705569183415733+0j),(-0.0006996720364880209+0j),,,,,,,(2.0369760816141502e-06+0j)
118,(-0.05693366843667035+0j),(0.07054135762086915+0j),(-0.0007329962067370942+0j),,,,,,,(2.0369781224304767e-06+0j)
119,(-0.05948786761455158+0j),(0.07052508033221129+0j),(-0.0007659811649030839+0j),,,,,,,(2.0369801632468032e-06+0j)
120,(-0.06198335944945219+0j),(0.07050809456627143+0j),(-0.0007985567393344418+0j),,,,,,,(2.0369822040631298e-06+0j)
121,(-0.06441768119191636+0j),(0.07049040995278984+0j),(-0.0008306506833263653+0j),,,,,,,(2.0369842448794563e-06+0j)
122,(-0.06678843046028347+0j),(0.07047203770400906+0j),(-0.000862188805934887+0j),,,,,,,(2.0369862856957828e-06+0j)
123,(-0.06909326761124958+0j),(0.07045299065498738+0j),(-0.000893095129885046+0j),,,,,,,(2.0369883265121093e-06+0j)
124,(-0.07132991804830306+0j),(0.07043328330019355+0j),(-0.0009232920777838797+0j),,,,,,,(2.036990367328436e-06+0j)
125,(-0.0734961744687792+0j),(0.07041293182576358+0j),(-0.0009527006873093243+0j),,,,,,,(2.0369924081447623e-06+0j)
126,(-0.07558989903809857+0j),(0.07039195413679285+0j),(-0.0009812408554177113+0j),,,,,,,(2.036994448961089e-06+0j)
127,(-0.07760902550314462+0j),(0.07037036987904344+0j),(-0.0010088316109232633+0j),,,,,,,(2.0369964897774153e-06+0j)
128,(-0.0795515612298684+0j),(0.07034820045446828+0j),(-0.0010353914140811046+0j),,,,,,,(2.036998530593742e-06+0j)
129,(-0.08141558917003273+0j),(0.070325469029991+0j),(-0.001060838481086756+0j),,,,,,,(2.0370005714100683e-06+0j)
130,(-0.08319926975270382+0j),(0.07030220053903266+0j),(-0.0010850911307323612+0j),,,,,,,(2.037002612226395e-06+0j)
