,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
47,(0.09985404279239218+0j),(0.06731851551245281+0j),(0.0007534870090442659+0j),,,,,,,(2.0368332244712946e-06+0j)
48,(0.09997441843193673+0j),(0.0673377456180985+0j),(0.0007785727734422884+0j),,,,,,,(2.036835265287621e-06+0j)
49,(0.09999613139054436+0j),(0.06735759386781325+0j),(0.0008025894643683454+0j),,,,,,,(2.0368373061039476e-06+0j)
50,(0.09991916024014634+0j),(0.06737803288669629+0j),(0.0008255007948650475+0j),,,,,,,(2.036839346920274e-06+0j)
51,(0.09974358094200132+0j),(0.06739903440662141+0j),(0.0008472720982895998+0j),,,,,,,(2.0368413877366006e-06+0j)
52,(0.09946956677163798+0j),(0.06742056930936884+0j),(0.0008678705137315691+0j),,,,,,,(2.036843428552927e-06+0j)
53,(0.09909738814797496+0j),(0.0674426076748548+0j),(0.0008872652055216192+0j),,,,,,,(2.0368454693692536e-06+0j)
54,(0.09862741236638013+0j),(0.06746511883480881+0j),(0.0009054275764457903+0j),,,,,,,(2.03684751018558e-06+0j)
55,(0.09806010323620912+0j),(0.06748807143169779+0j),(0.0009223314713169088+0j),,,,,,,(2.0368495510019067e-06+0j)
56,(0.09739602062308132+0j),(0.06751143348334691+0j),(0.0009379534259191847+0j),,,,,,,(2.036851591818233e-06+0j)
57,(0.09663581989645381+0j),(0.06753517245478954+0j),(0.0009522729922844175+0j),,,,,,,(2.0368536326345597e-06+0j)
58,(0.09578025128248763+0j),(0.0675592553391821+0j),(0.0009652731334958242+0j),,,,,,,(2.036855673450886e-06+0j)
59,(0.09483015912419318+0j),(0.0675836487494936+0j),(0.0009769406847374008+0j),,,,,,,(2.0368577142672127e-06+0j)
60,(0.09378648104782472+0j),(0.06760831902265176+0j),(0.0009872668817269075+0j),,,,,,,(2.036859755083539e-06+0j)
61,(0.09265024703763886+0j),(0.06763323233776836+0j),(0.000996247950647967+0j),,,,,,,(2.0368617958998657e-06+0j)
62,(0.09142257841942449+0j),(0.0676583548497737+0j),(0.0010038857422207893+0j),,,,,,,(2.0368638367161922e-06+0j)
63,(0.09010468675404737+0j),(0.06768365283915113+0j),(0.0010101883765150483+0j),,,,,,,(2.0368658775325187e-06+0j)
64,(0.08869787264116509+0j),(0.06770909287737084+0j),(0.0010151708451898284+0j),,,,,,,(2.0368679183488452e-06+0j)
65,(0.08720352443660778+0j),(0.06773464200601234+0j),(0.0010188554966147334+0j),,,,,,,(2.0368699591651718e-06+0j)
66,(0.0856231168816385+0j),(0.06776026792546885+0j),(0.0010212723118609255+0j),,,,,,,(2.0368719999814983e-06+0j)
